ItemID,OrderID,ProductID,Qty
1,3139,346,9
2,2254,2576,9
3,3585,76,8
4,1891,815,2
5,5764,1055,6
6,6328,3551,4
7,9928,4933,6
8,7266,3794,1
9,3374,3557,7
10,8288,1766,9
11,514,2293,3
12,497,4851,6
13,8305,4638,3
14,68,1561,5
15,4903,829,5
16,3183,4172,9
17,1191,2394,5
18,8895,2583,7
19,7541,4400,8
20,7423,2102,6
21,2077,567,4
22,3286,3002,6
23,9153,3603,1
24,3748,326,4
25,2176,3295,4
26,2870,3095,5
27,9819,2268,1
28,3563,4643,1
29,7819,4755,4
30,3357,998,9
31,3447,2927,5
32,4039,4194,5
33,594,4854,3
34,8644,2803,8
35,8191,1347,6
36,7379,3891,4
37,2795,4794,8
38,245,2732,9
39,7107,2030,2
40,9882,1254,8
41,9827,2341,6
42,4723,2182,1
43,4455,3810,3
44,7342,1820,5
45,8375,279,9
46,9109,4797,1
47,1897,2815,1
48,3450,3369,8
49,8174,2090,7
50,6286,909,2
51,572,3611,6
52,5505,2890,2
53,8440,1612,4
54,6797,811,3
55,2578,4920,7
56,9626,561,1
57,3738,376,4
58,4297,4885,2
59,3325,4561,8
60,9059,4418,3
61,2249,2374,7
62,8090,2338,7
63,3207,1368,2
64,1256,4951,3
65,7940,2837,6
66,9876,4306,2
67,5078,2266,3
68,8491,1745,9
69,9733,2472,3
70,1005,371,7
71,2018,3890,7
72,6301,3511,5
73,4926,1140,4
74,7743,2516,6
75,1085,2429,2
76,4363,3380,1
77,3351,2940,8
78,7394,475,4
79,1997,1806,1
80,7407,35,5
81,4930,2767,6
82,2026,1087,5
83,982,2548,3
84,3910,4575,8
85,2500,4184,9
86,8876,3895,7
87,3961,3490,3
88,1054,1751,1
89,1737,3398,9
90,1651,110,2
91,5666,2091,6
92,2623,1752,7
93,1455,4244,3
94,7136,3586,4
95,6238,3238,5
96,3996,2651,6
97,3765,3721,4
98,5272,1812,2
99,4477,3116,4
100,3043,39,6
101,7651,3324,1
102,8552,4857,7
103,8072,4246,4
104,6766,2874,2
105,9544,4271,4
106,1407,567,8
107,385,1629,5
108,4597,153,1
109,3896,442,8
110,9879,2280,6
111,2918,3448,5
112,7182,4251,4
113,6033,2713,2
114,8805,3340,1
115,6832,4181,5
116,7529,2355,6
117,5706,4907,1
118,9164,4895,5
119,4513,1450,6
120,1286,4432,5
121,261,1748,8
122,5506,4163,1
123,9177,584,2
124,9526,1470,8
125,1990,1004,6
126,4359,2899,9
127,829,1434,8
128,4993,2479,7
129,8501,4827,5
130,2144,3791,6
131,3123,2239,5
132,3866,3744,9
133,9298,100,5
134,3264,982,8
135,5079,838,5
136,1998,2716,8
137,9927,3525,6
138,1270,3152,7
139,8624,435,6
140,3789,2470,3
141,1893,59,7
142,7679,4167,8
143,6489,1298,9
144,3351,4143,8
145,5149,1348,3
146,8790,2785,2
147,3777,892,6
148,8200,1422,7
149,5766,2441,3
150,3646,4187,7
151,7556,3448,3
152,8122,1609,9
153,4842,2261,4
154,5860,4310,8
155,1221,4149,5
156,6667,3399,1
157,3807,67,7
158,3989,252,9
159,1581,2580,4
160,9740,2273,7
161,8748,2856,8
162,1611,4476,9
163,1738,4860,3
164,1503,3354,6
165,8183,1981,8
166,1907,3535,4
167,2574,869,5
168,7281,2320,6
169,9221,2185,2
170,3857,2847,2
171,9813,4070,9
172,7928,1458,6
173,4580,2550,8
174,3212,2527,7
175,3083,3951,3
176,8707,1516,9
177,7699,1932,6
178,2084,505,4
179,2948,2437,1
180,7424,4837,6
181,4344,1305,5
182,7308,3559,1
183,5847,1770,9
184,9244,3944,7
185,4571,1374,1
186,5913,3743,9
187,9165,2217,6
188,2341,4062,4
189,6291,4151,7
190,3,510,4
191,3704,3138,5
192,4997,2312,7
193,164,413,2
194,2539,982,1
195,2052,3337,1
196,9422,3955,4
197,7304,2566,4
198,7443,76,5
199,9327,2467,7
200,52,4365,6
201,2203,1122,3
202,5376,3864,3
203,8832,3685,8
204,8997,4817,8
205,1763,4176,2
206,5363,1653,6
207,9512,1057,6
208,5087,4000,6
209,7702,2612,6
210,4546,2266,5
211,6468,99,2
212,848,3480,2
213,6997,2879,8
214,5506,20,2
215,6361,1186,8
216,8561,2181,9
217,4708,1147,8
218,4412,12,3
219,138,2147,5
220,3245,1613,5
221,2248,4942,9
222,7307,3396,8
223,9133,2618,5
224,3434,2009,8
225,411,2316,2
226,5220,2386,8
227,9046,166,2
228,8323,2194,6
229,6726,4276,4
230,6747,4150,8
231,923,1932,8
232,1115,2208,4
233,6204,4178,1
234,6087,3358,7
235,3142,1177,3
236,3412,2340,3
237,6023,4175,4
238,2722,1504,2
239,5756,4711,8
240,3935,373,9
241,6333,2564,5
242,3381,1595,3
243,3080,1661,5
244,1390,3229,9
245,7355,175,9
246,9436,1186,4
247,3853,160,2
248,1251,4139,9
249,3994,1885,2
250,3097,3271,2
251,9853,3732,3
252,5018,4671,4
253,751,2274,2
254,7262,483,7
255,144,50,3
256,7836,1936,4
257,4032,3449,8
258,6661,4713,2
259,11,2636,3
260,191,3566,4
261,950,3932,2
262,8939,3311,6
263,9248,2300,1
264,873,3232,3
265,2117,123,9
266,5999,2144,8
267,9177,1111,8
268,3949,4760,8
269,3683,3896,8
270,909,283,4
271,2529,619,2
272,7236,583,3
273,1153,1527,8
