scenario,run,strategy,time,bytes,rows,ids_sent_bytes,rows_returned_bytes
0.01,1,ship_whole_table,4.4308084999997845,8775360,1000,,
0.01,1,semi_join,4.252213799999936,145478,1000,58909.0,86569.0
0.01,2,ship_whole_table,4.896348299999772,8775360,1000,,
0.01,2,semi_join,4.297740200000135,145478,1000,58909.0,86569.0
0.01,3,ship_whole_table,4.9793156999999155,8775360,1000,,
0.01,3,semi_join,4.310145400000238,145478,1000,58909.0,86569.0
0.01,4,ship_whole_table,5.093330599999717,8775360,1000,,
0.01,4,semi_join,4.273205500000131,145478,1000,58909.0,86569.0
0.01,5,ship_whole_table,5.015821500000129,8775360,1000,,
0.01,5,semi_join,4.319188500000109,145478,1000,58909.0,86569.0
0.01,6,ship_whole_table,4.946529400000145,8775360,1000,,
0.01,6,semi_join,4.282412000000022,145478,1000,58909.0,86569.0
0.01,7,ship_whole_table,4.895847799999956,8775360,1000,,
0.01,7,semi_join,4.269568000000163,145478,1000,58909.0,86569.0
0.01,8,ship_whole_table,5.133609800000158,8775360,1000,,
0.01,8,semi_join,4.286408400000255,145478,1000,58909.0,86569.0
0.01,9,ship_whole_table,4.865438700000141,8775360,1000,,
0.01,9,semi_join,4.318209300000035,145478,1000,58909.0,86569.0
0.01,10,ship_whole_table,4.74121550000018,8775360,1000,,
0.01,10,semi_join,4.1888082999998915,145478,1000,58909.0,86569.0
0.05,1,ship_whole_table,5.0372096000000965,8767120,5000,,
0.05,1,semi_join,4.333666800000174,491751,5000,58909.0,432842.0
0.05,2,ship_whole_table,4.985983199999737,8767120,5000,,
0.05,2,semi_join,4.352301200000056,491751,5000,58909.0,432842.0
0.05,3,ship_whole_table,5.104666899999756,8767120,5000,,
0.05,3,semi_join,4.390975700000126,491751,5000,58909.0,432842.0
0.05,4,ship_whole_table,5.047742700000072,8767120,5000,,
0.05,4,semi_join,4.36369650000006,491751,5000,58909.0,432842.0
0.05,5,ship_whole_table,5.002171699999963,8767120,5000,,
0.05,5,semi_join,4.348155000000133,491751,5000,58909.0,432842.0
0.05,6,ship_whole_table,4.992710399999851,8767120,5000,,
0.05,6,semi_join,4.379340500000126,491751,5000,58909.0,432842.0
0.05,7,ship_whole_table,5.010072900000068,8767120,5000,,
0.05,7,semi_join,4.353693300000032,491751,5000,58909.0,432842.0
0.05,8,ship_whole_table,4.968358699999953,8767120,5000,,
0.05,8,semi_join,4.352652900000066,491751,5000,58909.0,432842.0
0.05,9,ship_whole_table,4.917912499999602,8767120,5000,,
0.05,9,semi_join,4.3527030999998715,491751,5000,58909.0,432842.0
0.05,10,ship_whole_table,5.0516388999999435,8767120,5000,,
0.05,10,semi_join,4.367121899999802,491751,5000,58909.0,432842.0
0.1,1,ship_whole_table,4.912289499999588,8756786,10000,,
0.1,1,semi_join,4.385130499999832,924611,10000,58909.0,865702.0
0.1,2,ship_whole_table,4.9316977000003135,8756786,10000,,
0.1,2,semi_join,4.424056600000313,924611,10000,58909.0,865702.0
0.1,3,ship_whole_table,4.986479000000145,8756786,10000,,
0.1,3,semi_join,4.398894999999811,924611,10000,58909.0,865702.0
0.1,4,ship_whole_table,4.984021400000074,8756786,10000,,
0.1,4,semi_join,4.321207699999832,924611,10000,58909.0,865702.0
0.1,5,ship_whole_table,4.442518199999995,8756786,10000,,
0.1,5,semi_join,4.224965400000201,924611,10000,58909.0,865702.0
0.1,6,ship_whole_table,4.462055200000123,8756786,10000,,
0.1,6,semi_join,4.329273899999862,924611,10000,58909.0,865702.0
0.1,7,ship_whole_table,4.986840999999913,8756786,10000,,
0.1,7,semi_join,4.4413603000002695,924611,10000,58909.0,865702.0
0.1,8,ship_whole_table,4.962443800000074,8756786,10000,,
0.1,8,semi_join,4.379182799999853,924611,10000,58909.0,865702.0
0.1,9,ship_whole_table,4.9997464000002765,8756786,10000,,
0.1,9,semi_join,4.432260900000074,924611,10000,58909.0,865702.0
0.1,10,ship_whole_table,4.969477999999981,8756786,10000,,
0.1,10,semi_join,4.403388799999902,924611,10000,58909.0,865702.0
0.25,1,ship_whole_table,4.986035999999785,8739124,25000,,
0.25,1,semi_join,4.488849599999867,2222907,25000,58909.0,2163998.0
0.25,2,ship_whole_table,4.971451200000047,8739124,25000,,
0.25,2,semi_join,4.514981100000114,2222907,25000,58909.0,2163998.0
0.25,3,ship_whole_table,4.953345999999783,8739124,25000,,
0.25,3,semi_join,4.519353000000137,2222907,25000,58909.0,2163998.0
0.25,4,ship_whole_table,4.95993610000005,8739124,25000,,
0.25,4,semi_join,4.5550373999999465,2222907,25000,58909.0,2163998.0
0.25,5,ship_whole_table,4.999130900000182,8739124,25000,,
0.25,5,semi_join,4.539564499999869,2222907,25000,58909.0,2163998.0
0.25,6,ship_whole_table,4.961385600000085,8739124,25000,,
0.25,6,semi_join,4.476654900000085,2222907,25000,58909.0,2163998.0
0.25,7,ship_whole_table,4.888976900000216,8739124,25000,,
0.25,7,semi_join,4.815930600000229,2222907,25000,58909.0,2163998.0
0.25,8,ship_whole_table,4.9383074000002125,8739124,25000,,
0.25,8,semi_join,4.487251399999877,2222907,25000,58909.0,2163998.0
0.25,9,ship_whole_table,4.9396928999999545,8739124,25000,,
0.25,9,semi_join,4.518982099999903,2222907,25000,58909.0,2163998.0
0.25,10,ship_whole_table,4.899176100000204,8739124,25000,,
0.25,10,semi_join,4.530648399999791,2222907,25000,58909.0,2163998.0
0.5,1,ship_whole_table,4.913508399999955,8711433,50000,,
0.5,1,semi_join,4.396992200000113,4386792,50000,58909.0,4327883.0
0.5,2,ship_whole_table,4.579460800000106,8711433,50000,,
0.5,2,semi_join,4.341984899999716,4386792,50000,58909.0,4327883.0
0.5,3,ship_whole_table,4.414677499999925,8711433,50000,,
0.5,3,semi_join,4.377992600000198,4386792,50000,58909.0,4327883.0
